Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
93,SR3P,145.650000,-,0.600000,Tone,110.9,110.9,FM,12.5,Poznań - Dębiec
94,SR3PB,438.875000,-,7.600000,Tone,110.9,110.9,FM,12.5,Pobiedziska
95,SR3PI,439.050000,-,7.600000,Tone,67.0,67.0,FM,12.5,Piła
96,SR3PO,439.200000,-,7.600000,Tone,110.9,110.9,FM,12.5,Poznań
97,SR3PX,438.900000,-,7.600000,Tone,110.9,110.9,FM,12.5,Słomowo
98,SR3SN,439.100000,-,7.600000,Tone,100.0,100.0,FM,12.5,Świebodzin
99,SR3T,145.637500,-,0.600000,Tone,110.9,110.9,FM,12.5,Malanów
100,SR3UVL,439.237500,-,7.600000,,88.5,88.5,DV,12.5,Leszno
101,SR3WT,439.325000,-,7.600000,Tone,110.9,110.9,FM,12.5,Wolsztyn
102,SR3X,145.762500,-,0.600000,Tone,110.9,110.9,FM,12.5,Poznań
103,SR3XX,439.025000,-,7.600000,Tone,110.9,110.9,FM,12.5,Poznań
104,SR3XXX,438.700000,-,7.600000,Tone,110.9,110.9,FM,12.5,RTCN Poznań/Śrem, maszt EmiTel, adres Góra 42 koło Śremu
105,SR3Z,145.712500,-,0.600000,Tone,71.9,71.9,FM,12.5,Zielona Góra
107,SR3ZG,439.075000,-,7.600000,Tone,203.5,203.5,FM,12.5,Zielona Góra
108,SR3ZJ,438.750000,-,7.600000,Tone,79.7,79.7,FM,12.5,Jemiołów EMITEL
109,SR3ZX,439.350000,-,7.600000,,88.5,88.5,DV,12.5,Zielona Góra
110,SR4BA,438.537500,-,7.600000,Tone,67.0,67.0,FM,12.5,Kiertyny Małe k/Bartoszyc
111,SR4BS,439.025000,-,7.600000,Tone,67.0,67.0,FM,12.5,Białystok
113,SR4D,145.787500,-,0.600000,Tone,67.0,67.0,FM,12.5,Miłki k/Giżycka  EMITEL
116,SR4DGT,438.575000,-,7.600000,Tone,67.0,67.0,FM,12.5,Góra Dylewska EMITEL
118,SR4EL,439.050000,-,7.600000,Tone,94.8,94.8,FM,12.5,Elbląg
119,SR4J,145.625000,-,0.600000,Tone,67.0,67.0,FM,12.5,Góra Dylewska EMITEL
121,SR4L,438.100000,-,7.600000,,88.5,88.5,DV,12.5,Łomża
122,SR4LO,439.100000,-,7.600000,Tone,67.0,67.0,FM,12.5,Łomża - maszt
123,SR4LU,439.375000,-,7.600000,Tone,67.0,67.0,FM,12.5,LUBAWA
124,SR4MI,438.750000,-,7.600000,Tone,67.0,67.0,FM,12.5,Miłki k/Giżycka EMITEL
127,SR4MO,438.450000,-,7.600000,Tone,67.0,67.0,FM,12.5,
128,SR4MR,439.150000,-,7.600000,Tone,67.0,67.0,FM,12.5,Mrągowo - wieża ciśnień wodociągów
129,SR4MWO,438.150000,-,7.600000,Tone,67.0,67.0,FM,12.5,Mrągowo
130,SR4O,145.725000,-,0.600000,,88.5,67.0,FM,12.5,Olsztyn
132,SR4ON,438.675000,-,7.600000,Tone,67.0,67.0,FM,12.5,Olsztyn
134,SR4OS,438.400000,-,7.600000,Tone,67.0,67.0,FM,12.5,Ostróda
135,SR4PA,439.000000,-,7.600000,Tone,94.8,94.8,FM,12.5,Pasłęk, pow. elbląski
136,SR4PA,145.775000,-,0.600000,Tone,94.8,94.8,FM,12.5,Pasłęk
137,SR4RS,145.700000,-,0.600000,Tone,67.0,67.0,FM,12.5,Białystok
138,SR4S,145.575000,-,0.600000,Tone,67.0,67.0,FM,12.5,Sokółka
139,SR4SA,439.375000,-,7.600000,Tone,67.0,67.0,FM,12.5,Sokółka
140,SR4SN,438.875000,-,7.600000,Tone,67.0,88.5,FM,12.5,Szczytno
141,SR4SU,438.800000,-,7.600000,Tone,67.0,67.0,FM,12.5,Jeleniewo
142,SR4SUU,438.900000,-,7.600000,,88.5,88.5,FM,12.5,Suwałki, ul. Mickiewicza 15
143,SR4U,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Białystok
144,SR4UBI,439.425000,-,7.600000,,88.5,88.5,DV,12.5,Białystok
145,SR4UG,438.775000,-,7.600000,,88.5,88.5,DV,12.5,Giby
146,SR4UVD,439.512500,-,7.600000,,88.5,88.5,DV,12.5,Góra Dylewska EMITEL
147,SR4UVE,438.600000,-,7.600000,Tone,94.8,88.5,FM,12.5,Pasłęk
148,SR4UVM,439.487500,-,7.600000,,88.5,88.5,DV,12.5,Miłki k/Giżycka  EMITEL
149,SR4UVN,439.462500,-,7.600000,,88.5,88.5,DV,12.5,Olsztyn
150,SR4X,145.600000,-,0.600000,Tone,67.0,88.5,FM,12.5,Juchnowiec
152,SR5CI,438.437500,-,7.600000,Tone,127.3,88.5,FM,12.5,Ciechanów
156,SR5E,439.375000,-,7.600000,Tone,127.3,127.3,FM,12.5,Warszawa-Ochota, ul. Częstochowska
158,SR5FWG,438.250000,-,7.600000,Tone,127.3,127.3,FM,12.5,Garwolin
159,SR5GM,439.225000,-,7.600000,Tone,127.3,127.3,FM,12.5,Grodzisk Mazowiecki
161,SR5KPN,438.200000,split,430.600000,Tone,127.3,127.3,FM,12.5,Zamczysko
163,SR5MM,438.950000,-,7.600000,Tone,127.3,127.3,FM,12.5,Mińsk Mazowiecki
