Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
1353,GB7YI,439.575000,-,9.000000,,88.5,88.5,DV,12.5,
1354,GB7YJ,439.587500,-,9.000000,,88.5,88.5,DV,12.5,
1355,GB7YL,145.637500,-,0.600000,,88.5,88.5,DV,12.5,
1356,GB7YR,439.525000,-,9.000000,,88.5,88.5,DV,12.5,
1357,GB7YS,439.712500,-,9.000000,,88.5,88.5,DV,12.5,
1358,GB7YZ,439.475000,-,9.000000,,88.5,88.5,DV,12.5,
1359,GB7ZE,433.050000,+,1.600000,,88.5,88.5,FM,12.5,
1360,GB7ZP,439.487500,-,9.000000,,88.5,88.5,DV,12.5,
1361,HB9HD,29.650000,-,0.100000,,88.5,88.5,FM,12.5,
1362,HG6RVA,145.625000,-,0.600000,Tone,114.8,114.8,FM,12.5,Galyatető (Mátra)
1363,HG9RVA,145.725000,-,0.600000,Tone,114.8,114.8,FM,12.5,Kis-kőhát (Bükk)
1364,JW9SRR,145.600000,-,0.600000,Tone,91.5,88.5,FM,12.5,Skolten, Svalbard
1365,LA1XRR,29.650000,-,0.100000,,88.5,88.5,FM,12.5,Oslo / Heggedal
1366,LA2ERR,434.850000,-,2.000000,,88.5,88.5,FM,12.5,Gardermoen
1367,LA2KRR,434.650000,-,2.000000,,88.5,88.5,FM,12.5,Kongsvinger / Rafjellet
1368,LA2RRR,51.830000,-,0.600000,,88.5,88.5,FM,12.5,Kongsvinger / Holtberget
1369,LA2XRR,145.712500,-,0.600000,,88.5,88.5,FM,12.5,Kongsvinger / Rafjellet
1370,LA2YRR,434.750000,-,2.000000,,88.5,88.5,FM,12.5,Follo / Stangåsen
1371,LA3GRR,145.612500,-,0.600000,,88.5,88.5,FM,12.5,Tønsberg / Gaustatoppen
1372,LA3JRR,434.675000,-,2.000000,,88.5,88.5,FM,12.5,Vestfold / Jordstøyp
1373,LA4BRR,434.900000,-,2.000000,,88.5,88.5,FM,12.5,Bru
1374,LA4ERR,434.875000,-,2.000000,,88.5,88.5,FM,12.5,Egerøy
1375,LA4HRR,145.750000,-,0.600000,,88.5,88.5,FM,12.5,Kvinesheia
1376,LA4KRR,434.825000,-,2.000000,,88.5,88.5,FM,12.5,Kvinesheia
1377,LA4LRR,434.850000,-,2.000000,,88.5,88.5,FM,12.5,Skogbergfjellet
1378,LA4MRR,434.900000,-,2.000000,,88.5,88.5,FM,12.5,Varmestø / Mandal
1379,LA4SRR,145.712500,-,0.600000,,88.5,88.5,FM,12.5,Store Skykula
1380,LA4URR,434.875000,-,2.000000,,88.5,88.5,FM,12.5,Aasvik / Risør
1381,LA4WRR,434.850000,-,2.000000,,88.5,88.5,FM,12.5,Bogafjell
1382,LA5AR,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Arendal / Tromøya
1383,LA5BR,145.750000,-,0.600000,,88.5,88.5,FM,12.5,Bergen / Rundemannen
1384,LA5CR,434.675000,-,2.000000,,88.5,88.5,FM,12.5,Jæren / Sandnes
1385,LA5DR,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Drammen / Nordbykollen
1386,LA5FR,145.787500,-,0.600000,,88.5,88.5,FM,12.5,Follo / Enebakk
1387,LA5GR,145.650000,-,0.600000,,88.5,88.5,FM,12.5,Skien
1388,LA5HR,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Horten / Skottås
1389,LA5IR,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Hafstadfjell / Førde
1390,LA5JR,434.625000,-,2.000000,,88.5,88.5,FM,12.5,Kongsberg / Haus Sachsen
1391,LA5KR,145.650000,-,0.600000,,88.5,88.5,FM,12.5,Kongsvinger / Holtberget
1392,LA5LR,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Lista
1393,LA5MR,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Mjøsa / Totenåsen
1394,LA5NR,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Narvik / Ofoten-Veggen
1395,LA5OR,145.600000,-,0.600000,,88.5,88.5,FM,12.5,Oslo / Tryvasshøgda
1396,LA5PR,145.600000,-,0.600000,,88.5,88.5,FM,12.5,Firda / Høyanger
1397,LA5QR,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Molde / Sunndal
1398,LA5RR,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Ringerike / Ringkollen
1399,LA5RRR,434.600000,-,2.000000,,88.5,88.5,FM,12.5,Sauda / Røldal
1400,LA5SR,145.750000,-,0.600000,,88.5,88.5,FM,12.5,Sandefjord / Mokollen
1401,LA5TR,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Stjørdal / Forbordfjell
1402,LA5UR,51.810000,-,0.600000,,88.5,88.5,FM,12.5,Sandefjord / Kjerringfjell
1403,LA5VR,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Sunnhordland / Kattnakken
1404,LA5XR,434.850000,-,2.000000,,88.5,88.5,FM,12.5,Trondheim / Gråkallen
1405,LA5YR,434.900000,-,2.000000,,88.5,88.5,FM,12.5,Follo / Enebakk
1406,LA6AR,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Sandnessjøen / Brasøy
1407,LA6BR,145.750000,-,0.600000,,88.5,88.5,FM,12.5,Rønvikfjell / Bodø
1408,LA6CR,434.625000,-,2.000000,,88.5,88.5,FM,12.5,Knarvik / N. Hordland
1409,LA6DR,434.800000,-,2.000000,,88.5,88.5,FM,12.5,Ravnafjell / Sauda
1410,LA6ER,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Egersund / Gaupelemfjell
1411,LA6FR,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Flekkefjord / Storestø
1412,LA6GR,434.750000,-,2.000000,,88.5,88.5,FM,12.5,Mjøsa / Steinfjellhytta
1413,LA6HR,434.650000,-,2.000000,,88.5,88.5,FM,12.5,Skottås / Horten
1414,LA6JR,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Kristiansand / Svalandsheia
1415,LA6KR,145.750000,-,0.600000,,88.5,88.5,FM,12.5,Kristiansand / Odderøya
1416,LA6MR,145.650000,-,0.600000,,88.5,88.5,FM,12.5,Ålesund / Valderøyfjellet
1417,LA6NR,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Hallingdal / Syningen
1418,LA6OR,145.637500,-,0.600000,,88.5,88.5,FM,12.5,Oslo / Nesodden
1419,LA6QR,434.750000,-,2.000000,,88.5,88.5,FM,12.5,Haugesund / Karmøy
1420,LA6RR,434.600000,-,2.000000,,88.5,88.5,FM,12.5,Ryfylke / Rennesøyhornet
1421,LA6SR,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Risør / Hasåsen
1422,LA6TR,145.750000,-,0.600000,,88.5,88.5,FM,12.5,Tromsø / Kvitbergfjellet
1423,LA6UR,145.650000,-,0.600000,,88.5,88.5,FM,12.5,Fosen / Gjeltheia
1424,LA6VR,145.750000,-,0.600000,,88.5,88.5,FM,12.5,Kirkenes / Verigasfjellet
1425,LA6WR,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Voss / Lønahorgi
1426,LA6XR,145.600000,-,0.600000,,88.5,88.5,FM,12.5,Kristiansund / Reinsfjell
1427,LA6YR,434.850000,-,2.000000,,88.5,88.5,FM,12.5,Skien
1428,LA6YRR,434.600000,-,2.000000,,88.5,88.5,FM,12.5,Kristiansund / Reinsfjell
1429,LA6ZR,145.750000,-,0.600000,,88.5,88.5,FM,12.5,Fagernes / Spåtind
1430,LA7AR,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Andenes / Endletenfjell
1431,LA7BR,434.700000,-,2.000000,,88.5,88.5,FM,12.5,Ørnfjell / Bergen
1432,LA7CR,434.700000,-,2.000000,,88.5,88.5,FM,12.5,Modum / Norefjell
1433,LA7ER,145.650000,-,0.600000,,88.5,88.5,FM,12.5,Mandal / Sjåvassknuten
1434,LA7FR,434.700000,-,2.000000,,88.5,88.5,FM,12.5,Fredrikstad / Kniplefjell
1435,LA7GR,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Mjøsa / Gålå-Harpefoss
1436,LA7HR,145.650000,-,0.600000,,88.5,88.5,FM,12.5,Harstad / Samaåsen
1437,LA7KR,434.625000,-,2.000000,,88.5,88.5,FM,12.5,Kongsvinger / Holtberget
1438,LA7KRR,434.625000,-,2.000000,,88.5,88.5,FM,12.5,Fosen / Kyrksæterøra
1439,LA7LR,434.925000,-,2.000000,,88.5,88.5,FM,12.5,Bø / Lifjell
1440,LA7MR,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Mo i Rana / Veten
1441,LA7NR,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Namdal / Hemna
1442,LA7OR,434.775000,-,2.000000,,88.5,88.5,FM,12.5,Oslo / Grefsenkollen
1443,LA7ORR,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Oppdal / Allmannberget
1444,LA7PR,145.662500,-,0.600000,,88.5,88.5,FM,12.5,Moss / Grimstadtoppen
1445,LA7RR,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Trondheim / Liaåsen
1446,LA7SR,434.800000,-,2.000000,,88.5,88.5,FM,12.5,Tønsberg / Mokollen
1447,LA7TR,434.675000,-,2.000000,,88.5,88.5,FM,12.5,Forbordfjell / Stjørdal
1448,LA7TRR,51.850000,-,0.600000,,88.5,88.5,FM,12.5,Trondheim / Vassfjellet
1449,LA7UR,434.675000,-,2.000000,,88.5,88.5,FM,12.5,Ringerike / Valebykampen
1450,LA7URR,1297.000000,-,6.000000,,88.5,88.5,FM,12.5,Trondheim / Vikhammer
1451,LA7VR,145.600000,-,0.600000,,88.5,88.5,FM,12.5,Vesterålen / Hadseløya
1452,LA7WR,434.725000,-,2.000000,,88.5,88.5,FM,12.5,Voss / Lønahorgi
1453,LA7YR,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Alta / Kvanfjellet
1454,LA8BR,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Fauske/Bodø / Klettkå
1455,LA8CR,145.762500,-,0.600000,,88.5,88.5,FM,12.5,Romerike / Bjørnåsen
1456,LA8DR,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Jæren / Sandnes
1457,LA8ER,434.875000,-,2.000000,,88.5,88.5,FM,12.5,Gardermoen / Mistberget
1458,LA8FR,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Fosen / Olsøyheia
1459,LA8GR,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Bergen / Bråtsviksåta
1460,LA8HR,145.650000,-,0.600000,,88.5,88.5,FM,12.5,Geilo / Hallingdal
1461,LA8KR,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Kongsberg / Jonsknuten
1462,LA8LR,145.650000,-,0.600000,,88.5,88.5,FM,12.5,Haugesund / Kringsjå
1463,LA8MR,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Molde / Tusten
1464,LA8NR,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Honningsvåg / Nordkapp
1465,LA8NRR,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Narvik / Ankenes
1466,LA8OR,434.600000,-,2.000000,,88.5,88.5,FM,12.5,Oslo / Bislingen
1467,LA8QR,145.712500,-,0.600000,,88.5,88.5,FM,12.5,Trondheim / Bringen
1468,LA8RR,434.825000,-,2.000000,,88.5,88.5,FM,12.5,Bjørnåsen / Romerike
1469,LA8SR,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Stavanger / Byhaugen
1470,LA8TR,145.750000,-,0.600000,,88.5,88.5,FM,12.5,Trondheim / Ruten
1471,LA8UR,434.775000,-,2.000000,,88.5,88.5,FM,12.5,Fosen / Kopparen
1472,LA8VR,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Mosjøen / Vardefjell
1473,LA8XR,145.737500,-,0.600000,,88.5,88.5,FM,12.5,Reinsnuten / Sauda
1474,LA9AR,145.600000,-,0.600000,,88.5,88.5,FM,12.5,Mjøsa / Tronfjell
1475,LA9BR,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Firda / Steinfjellet
1476,LA9CR,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Florø / Storåsen
1477,LA9DR,434.725000,-,2.000000,,88.5,88.5,FM,12.5,Drammen / Nordbykollen
1478,LA9ER,145.737500,-,0.600000,,88.5,88.5,FM,12.5,Gardermoen / Mistberget
1479,LA9HR,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Harstad
1480,LA9HRR,434.800000,-,2.000000,,88.5,88.5,FM,12.5,Harstad
1481,LA9JDA,145.750000,-,0.600000,,88.5,88.5,FM,12.5,Bodø
1482,LA9KR,145.650000,-,0.600000,,88.5,88.5,FM,12.5,Norkapp / Hammerfest
1483,LA9LR,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Sauda / Ravnafjell
1484,LA9LRR,145.600000,-,0.600000,,88.5,88.5,FM,12.5,Tromsø / Lyngen
1485,LA9MR,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Mandal / Varmestø
1486,LA9NR,434.950000,-,2.000000,,88.5,88.5,FM,12.5,Tønsberg / Frodeåsen
1487,LA9QR,434.725000,-,2.000000,,88.5,88.5,FM,12.5,Nordfjellet / Tromsø
1488,LA9RR,145.600000,-,0.600000,,88.5,88.5,FM,12.5,Ryfylke / Ombo
