number;valid_to;call_sign;category;transmitter_power;name_type_station;emission;input_frequency;output_frequency;station_location
DC.WML.5101.1136.2022.2;2027-03-16;SR2UVO;Kategoria5;15;CyfrowyPrzemiennik;"";431.3625;438.9625;W³oc³awek
DC.WML.5101.1240.2022.4;2027-03-24;SR0LINK;Kategoria5;15;CyfrowyPrzekaznik;"";430.5, 434.3, 433.8, 432.5, 144.8, 144.6, 70.275, 51.15, 50.75, 7.052, 5.353, 3.616;438.1, 434.3, 433.8, 432.5, 144.8, 144.6, 70.275, 51.15, 51.25, 7.052, 5.353, 3.616;Czeluœnica
DC.WML.5101.1347.2022.2;2027-05-22;SR8ET;Kategoria5;15;PrzemiennikFMDV;"";431.6;439.2;Sanok
DC.WML.5101.1453.2022.2;2027-04-06;SR7HYT;Kategoria5;15;CyfrowyPrzemiennik;"";145.02;145.62;£ódŸ
DC.WML.5101.1613.2022.2;2027-04-14;SR3WX;Kategoria5;15;StacjaPogodowa;"";144.95;144.95;Zielona Góra
DC.WML.5101.2259.2022.2;2027-05-24;SR7SC;Kategoria5;15;PrzemiennikFMDV;"";431.725;439.325;Skierniewice
DC.WML.5101.2242.2022.2;2027-05-25;SR2NRH;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Biskupin
DC.WML.5101.2296.2022.3;2027-05-26;SR9UVJ;Kategoria5;15;PrzemiennikFMDV;"";145.0375, 431.9;145.6375, 439.5;Muszyna - TSR Jaworzyna Krynicka
DC.WML.5101.2305.2022.3;2027-06-20;SR9PC;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.25;438.85;Bogdanówka - Koskowa Góra
DC.WML.5101.2306.2022.3;2027-06-20;SR9P;Kategoria5;15;AnalogowyPrzemiennikFM;"";145.0625;145.6625;Bogdanówka - Koskowa Góra 
DC.WML.5101.2395.2022.2;2027-12-12;SR7T;Kategoria5;15;CyfrowyPrzemiennik;"";431.275;438.875;Z³ota
DC.WML.5101.2450.2022.2;2027-06-03;SR9US;Kategoria5;15;PrzemiennikFMDV;"";430.525;438.125;Ustroñ - Góra Czantoria
DC.WML.5101.2307.2022.3;2027-08-01;SR5WU;Kategoria5;15;PrzemiennikFMDV;"";431.175;438.775;Warszawa
DC.WML.5101.2470.2022.2;2027-06-02;SR8DMB;Kategoria5;15;CyfrowyPrzemiennik;"";431.975;439.575;Bezmiechowa Górna
DC.WML.5101.2649.2022.2;2027-05-30;SR3WIRX;Kategoria5;15;CyfrowaStacjaWezlowa;"";144.8625;144.8625;S³awica
DC.WML.5101.2695.2022.2;2027-06-15;SR8UVC;Kategoria5;15;CyfrowyPrzemiennik;"";430.95, 431.95;438.55, 439.55;Choty³ów
DC.WML.5101.3067.2022.2;2027-07-11;SR5DMR;Kategoria5;15;CyfrowyPrzemiennik;"";430.6125;438.2125;Ciechanów
DC.WML.5101.3352.2022.2;2027-07-27;SR9ABC;Kategoria5;15;AnalogowyPrzemiennikFM;"";51.39;51.99;Szczawnica -Góra Przehyba
