Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Rx DCS,Skip,Step,Mask,Attenuator,Comment,IPO,
43,438.975,431.375,7.600000,Minus,FM,DB0LUC,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
44,438.575,430.975,7.600000,Minus,FM,DB0LUD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
45,145.7,145.1,0.600000,Minus,FM,DB0MAR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
46,438.95,431.35,7.600000,Minus,FM,DB0NFL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
47,145.7375,145.1375,0.600000,Minus,FM,DB0NLS,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
48,438.9375,431.3375,7.600000,Minus,FM,DB0OAL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
49,439.3125,431.7125,7.600000,Minus,FM,DB0PBS,On,Tone,136.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
50,439.1,431.5,7.600000,Minus,FM,DB0PC,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
51,145.65,145.05,0.600000,Minus,FM,DB0PCK,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
52,145.675,145.075,0.600000,Minus,FM,DB0PDM-2M,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
53,145.575,144.975,0.600000,Minus,FM,DB0PIB-2M,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
54,438.975,431.375,7.600000,Minus,FM,DB0QG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
55,439.3,431.7,7.600000,Minus,FM,DB0RAG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
56,145.175,145.775,0.600000,Plus,FM,DB0RIG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
57,439.05,431.45,7.600000,Minus,FM,DB0RIG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
58,431.9,439.5,7.600000,Plus,FM,DB0RKS,On,Tone,250.3 Hz,250.3 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
59,145.6,145,0.600000,Minus,FM,DB0RUG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
60,145.7,145.1,0.600000,Minus,FM,DB0SL,On,Tone,71.9 Hz,71.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
61,439.05,431.45,7.600000,Minus,FM,DB0SL,On,None,88.5 Hz,71.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
62,438.975,431.375,7.600000,Minus,FM,DB0SMB,On,Tone,100.0 Hz,100.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
63,145.6,145,0.600000,Minus,FM,DB0SP,On,None,88.5 Hz,141.3 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
64,439.425,431.825,7.600000,Minus,FM,DB0SP,On,None,88.5 Hz,141.3 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
65,439.3,431.7,7.600000,Minus,FM,DB0SPB,On,Tone,123.0 Hz,123.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
66,439.05,431.45,7.600000,Minus,FM,DB0SX,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
67,438.625,431.025,7.600000,Minus,FM,DB0SY,On,None,88.5 Hz,74.4 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
68,438.8,431.2,7.600000,Minus,FM,DB0TFL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
69,145.75,145.15,0.600000,Minus,FM,DB0TK,On,None,88.5 Hz,100.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
70,438.7,431.1,7.600000,Minus,FM,DB0TR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
71,439.125,431.525,7.600000,Minus,FM,DB0TRS,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
72,438.65,431.05,7.600000,Minus,FM,DB0TT,On,Tone,67.0 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
73,438.875,431.275,7.600000,Minus,FM,DB0TUD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
74,438.675,431.075,7.600000,Minus,FM,DB0UA,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
75,145.6375,145.0375,0.600000,Minus,FM,DB0UA,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
76,145.6375,145.0375,0.600000,Minus,FM,DB0UE,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
77,439.025,431.425,7.600000,Minus,FM,DB0UG,On,Tone,67.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
78,439.2375,431.6375,7.600000,Minus,FM,DB0UM,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
79,145.7875,145.1875,0.600000,Minus,FM,DB0WA,On,Tone,94.8 Hz,94.8 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
80,438.95,431.35,7.600000,Minus,FM,DB0WAS,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
81,438.9,431.3,7.600000,Minus,FM,DB0WBE,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
82,439.2,431.6,7.600000,Minus,FM,DB0WBG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
83,145.7375,145.1375,0.600000,Minus,FM,DB0WIT,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
84,145.7,145.1,0.600000,Minus,FM,DB0WM,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
85,439.075,431.475,7.600000,Minus,FM,DB0WOF,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
86,439.15,431.55,7.600000,Minus,FM,DB0WOL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
87,145.6625,145.0625,0.600000,Minus,FM,DB0XH,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
88,438.8,431.2,7.600000,Minus,FM,DB0XJ,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
89,145.7,145.1,0.600000,Minus,FM,DB0XK,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
90,438.9,431.3,7.600000,Minus,FM,DB0XL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
91,145.6375,145.0375,0.600000,Minus,FM,DB0YC,On,Tone,71.9 Hz,71.9 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
92,439,431.4,7.600000,Minus,FM,DB0ZD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
93,145.625,145.025,0.600000,Minus,FM,DB0ZH,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
94,145.7625,145.1625,0.600000,Minus,FM,DB0ZO,On,Tone,123.0 Hz,123.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
95,145.725,145.125,0.600000,Minus,FM,DB0ZU,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
96,438.85,431.25,7.600000,Minus,FM,DB0ZU,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
97,1298.6,1270.6,28.000000,Minus,FM,DB0ZU,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
98,438.7,431.1,7.600000,Minus,FM,DF0HHH,On,None,88.5 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
99,438.625,431.025,7.600000,Minus,FM,DM0BGH,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
100,145.7875,145.1875,0.600000,Minus,FM,DM0ULR,On,Tone,141.3 Hz,141.3 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
101,438.85,431.25,7.600000,Minus,FM,DO0GG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
102,438.2125,430.6125,7.600000,Minus,FM,DO0LEE,On,Tone,67.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
103,439.3,431.7,7.600000,Minus,FM,DO0SMZ,On,Tone,67.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
104,145.7625,145.1625,0.600000,Minus,FM,EI2KPR,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
105,145.6,145,0.600000,Minus,FM,EI2TRR,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
106,438.6,431,7.600000,Minus,FM,EI7BHR,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
107,433.225,434.825,1.600000,Plus,FM,EI7TRR,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
108,438.9,431.3,7.600000,Minus,FM,ER1OVR,On,Tone,103.5 Hz,103.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
109,145.625,145.025,0.600000,Minus,FM,EU1,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
110,438.125,438.125,0.000000,Plus,FM,EU1,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
111,438.725,431.225,7.500000,Minus,FM,EU1A00R,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
112,438.825,431.225,7.600000,Minus,FM,EU1A01R,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
113,145.775,145.175,0.600000,Minus,FM,EU1XX,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
114,438.7,431.1,7.600000,Minus,FM,EU1XXXX,On,None,88.5 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
115,145.675,145.075,0.600000,Minus,FM,EU2XX,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
116,439.425,431.825,7.600000,Minus,FM,EU4BLC-R,On,Tone,67.0 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
117,145.7,145.1,0.600000,Minus,FM,EU4XX,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
118,145.775,145.175,0.600000,Minus,FM,EU4XXX,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
119,145.725,145.125,0.600000,Minus,FM,EU5XX,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
120,434.6,433,1.600000,Minus,FM,EU8A00R,On,Tone,162.2 Hz,162.2 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
121,439.425,431.825,7.600000,Minus,FM,EV4UHF,On,Tone,67.0 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
122,145.775,145.175,0.600000,Minus,FM,EV4VHF,On,None,88.5 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
123,430.9,438.5,7.600000,Plus,FM,EW7DDG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
124,145.6375,145.0375,0.600000,Minus,FM,F5ZFF,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
125,145.675,145.075,0.600000,Minus,FM,F5ZSS,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
126,431.725,430.125, ,Split,FM,F5ZTU,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
127,145.775,145.175,0.600000,Minus,FM,F5ZUL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
128,431.925,430.325,1.600000,Minus,FM,F5ZUW,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
129,145.7,145.1,0.600000,Minus,FM,F6ZCV,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
130,145.6625,145.0625,0.600000,Minus,FM,GB3AA,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
131,433.375,434.975,1.600000,Plus,FM,GB3AB,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
132,430.975,438.575,7.600000,Plus,FM,GB3AC,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
133,50.72,51.22,0.500000,Plus,FM,GB3AE,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
134,145.725,145.125,0.600000,Minus,FM,GB3AG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
135,433.275,434.875,1.600000,Plus,FM,GB3AH,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
136,1297.35,1277.35,20.000000,Minus,FM,GB3AK,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
137,145.7375,145.1375,0.600000,Minus,FM,GB3AL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
138,50.84,51.34,0.500000,Plus,FM,GB3AM,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
139,433.2,434.8,1.600000,Plus,FM,GB3AN,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
140,145.7,145.1,0.600000,Minus,FM,GB3AR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
141,145.6,145,0.600000,Minus,FM,GB3AS,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
142,433.175,434.775,1.600000,Plus,FM,GB3AU,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
143,433.05,434.65,1.600000,Plus,FM,GB3AV,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
144,433.25,434.85,1.600000,Plus,FM,GB3AW,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
145,145.65,145.05,0.600000,Minus,FM,GB3AY,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
146,433.325,434.925,1.600000,Plus,FM,GB3BA,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
147,145.7,145.1,0.600000,Minus,FM,GB3BB,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
148,145.75,145.15,0.600000,Minus,FM,GB3BC,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
149,430.8625,438.4625,7.600000,Plus,FM,GB3BE,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
150,145.7875,145.1875,0.600000,Minus,FM,GB3BF,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
151,145.725,145.125,0.600000,Minus,FM,GB3BI,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
152,430.875,438.475,7.600000,Plus,FM,GB3BL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
153,145.7125,145.1125,0.600000,Minus,FM,GB3BM,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
154,433,434.6,1.600000,Plus,FM,GB3BN,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
155,433.15,434.75,1.600000,Plus,FM,GB3BR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
156,430.85,438.45,7.600000,Plus,FM,GB3BS,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
157,145.7,145.1,0.600000,Minus,FM,GB3BT,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
158,433.025,434.625,1.600000,Plus,FM,GB3BV,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
159,430.975,438.575,7.600000,Plus,FM,GB3BY,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
160,430.85,438.45,7.600000,Plus,FM,GB3BZ,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
161,433.325,434.925,1.600000,Plus,FM,GB3CA,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
162,433.35,434.95,1.600000,Plus,FM,GB3CB,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
163,430.9625,438.5625,7.600000,Plus,FM,GB3CC,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
164,145.6875,145.0875,0.600000,Minus,FM,GB3CD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
165,433.35,434.95,1.600000,Plus,FM,GB3CE,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
166,145.6,145,0.600000,Minus,FM,GB3CF,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
167,145.725,145.125,0.600000,Minus,FM,GB3CG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
168,430.875,438.475,7.600000,Plus,FM,GB3CH,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
169,430.825,438.425,7.600000,Plus,FM,GB3CI,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
170,29.64,29.54,0.100000,Minus,FM,GB3CJ,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
171,433,434.6,1.600000,Plus,FM,GB3CK,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
172,433.225,434.825,1.600000,Plus,FM,GB3CL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
173,430.8625,438.4625,7.600000,Plus,FM,GB3CM,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
174,145.6875,145.0875,0.600000,Minus,FM,GB3CN,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
175,145.6625,145.0625,0.600000,Minus,FM,GB3CO,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
176,145.7375,145.1375,0.600000,Minus,FM,GB3CP,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
177,433.15,434.75,1.600000,Plus,FM,GB3CR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
178,145.75,145.15,0.600000,Minus,FM,GB3CS,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
179,430.8125,438.4125,7.600000,Plus,FM,GB3CV,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
180,433.1,434.7,1.600000,Plus,FM,GB3CW,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
181,430.8625,438.4625,7.600000,Plus,FM,GB3CY,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
